candidate_id,rank,score,reasoning
CAND_0009024,14,81.88,"Highly qualified Search Engineer with 5.2 years of experience. Demonstrated engineering depth in YOLO, Qdrant, PEFT at product-centric company Google with solid platform engagement."
CAND_0032216,15,81.82,"Highly qualified ML Engineer with 6.1 years of experience. Demonstrated engineering depth in Time Series, Learning to Rank, Information Retrieval at product-centric company upGrad with solid platform engagement."
CAND_0066690,16,81.34,"Highly qualified ML Engineer with 4.8 years of experience. Demonstrated engineering depth in Hugging Face Transformers, Object Detection, Speech Recognition at product-centric company Freshworks with solid platform engagement."
CAND_0038368,17,81.28,"Highly qualified ML Engineer with 5.4 years of experience. Demonstrated engineering depth in YOLO, Embeddings, BM25 at product-centric company PhonePe with solid platform engagement."
CAND_0070808,18,80.96,"Highly qualified Junior ML Engineer with 6.8 years of experience. Demonstrated engineering depth in OpenCV, Speech Recognition, OpenSearch at product-centric company HCL with solid platform engagement."
CAND_0040887,19,80.32,"Highly qualified Machine Learning Engineer with 4.7 years of experience. Demonstrated engineering depth in Reinforcement Learning, Computer Vision, FAISS at product-centric company Netflix with solid platform engagement."
CAND_0080766,20,80.04,"Highly qualified Staff Machine Learning Engineer with 8.8 years of experience. Demonstrated engineering depth in Search Backend, LoRA, Search & Discovery at product-centric company Salesforce with solid platform engagement."
CAND_0072091,21,79.96,"Highly qualified ML Engineer with 4.6 years of experience. Demonstrated engineering depth in Fine-tuning LLMs, LlamaIndex, Kubeflow at product-centric company Krutrim with solid platform engagement."
CAND_0037566,22,79.68,"Highly qualified Machine Learning Engineer with 6.9 years of experience. Demonstrated engineering depth in Pinecone, Time Series, LlamaIndex at product-centric company LinkedIn with solid platform engagement."
CAND_0018499,23,79.48,"Highly qualified Senior Machine Learning Engineer with 7.2 years of experience. Demonstrated engineering depth in Deep Learning, Weaviate, Recommendation Systems at product-centric company Zomato with solid platform engagement."
CAND_0058688,24,78.84,"Highly qualified AI Engineer with 6.7 years of experience. Demonstrated engineering depth in scikit-learn, Object Detection, LlamaIndex at product-centric company Vedantu with solid platform engagement."
CAND_0016432,25,78.34,"Highly qualified AI Research Engineer with 4.6 years of experience. Demonstrated engineering depth in Time Series, Machine Learning, NLP at product-centric company Meesho with solid platform engagement."
CAND_0052328,26,78.22,"Highly qualified Recommendation Systems Engineer with 6.5 years of experience. Demonstrated engineering depth in LoRA, OpenSearch, QLoRA at product-centric company Amazon with solid platform engagement."
CAND_0003841,27,78.12,"Highly qualified ML Engineer with 5.0 years of experience. Demonstrated engineering depth in Pinecone, Object Detection, Weights & Biases at product-centric company Tech Mahindra with solid platform engagement."
CAND_0049538,28,78.1,"Highly qualified Applied ML Engineer with 5.8 years of experience. Demonstrated engineering depth in LlamaIndex, Feature Engineering, MLflow at product-centric company Saarthi.ai with solid platform engagement."
CAND_0008425,29,78.047,"Highly qualified Senior NLP Engineer with 7.8 years of experience. Demonstrated engineering depth in Learning to Rank, Qdrant, Weights & Biases at product-centric company Ola with solid platform engagement."
CAND_0013665,30,77.98,"Highly qualified Senior Software Engineer (ML) with 5.2 years of experience. Demonstrated engineering depth in Image Classification, ASR, MLOps at product-centric company InMobi with solid platform engagement."
CAND_0088025,31,77.809,"Highly qualified Staff Machine Learning Engineer with 8.6 years of experience. Demonstrated engineering depth in Pinecone, QLoRA, LLMs at product-centric company Yellow.ai with solid platform engagement."
CAND_0061655,32,77.74,"Highly qualified Machine Learning Engineer with 4.6 years of experience. Demonstrated engineering depth in Haystack, PEFT, Pinecone at product-centric company Krutrim with solid platform engagement."
CAND_0083307,33,77.571,"Highly qualified Search Engineer with 7.8 years of experience. Demonstrated engineering depth in OpenCV, scikit-learn, Embeddings at product-centric company CRED with solid platform engagement."
CAND_0020708,34,77.48,"Highly qualified Search Engineer with 4.2 years of experience. Demonstrated engineering depth in NLP, Data Science, scikit-learn at product-centric company PolicyBazaar with solid platform engagement."
CAND_0069905,35,77.435,"Highly qualified Applied ML Engineer with 6.6 years of experience. Demonstrated engineering depth in LoRA, Speech Recognition, Image Classification at product-centric company Sarvam AI with solid platform engagement."
CAND_0064888,36,77.42,"Highly qualified ML Engineer with 5.8 years of experience. Demonstrated engineering depth in TensorFlow, CNN, Time Series at product-centric company Verloop.io with solid platform engagement."
CAND_0094759,37,76.76,"Highly qualified Lead AI Engineer with 8.6 years of experience. Demonstrated engineering depth in Prompt Engineering, scikit-learn, Hugging Face Transformers at product-centric company Meta with solid platform engagement."
CAND_0020721,38,76.72,"Highly qualified Data Engineer with 6.9 years of experience. Demonstrated engineering depth in Speech Recognition, GANs, PEFT at product-centric company Capgemini with solid platform engagement."
CAND_0008295,39,76.432,"Highly qualified AI Research Engineer with 6.5 years of experience. Demonstrated engineering depth in BM25, Python, TTS at product-centric company Razorpay with solid platform engagement."
CAND_0051292,40,76.28,"Highly qualified Applied ML Engineer with 5.2 years of experience. Demonstrated engineering depth in pgvector, FAISS, BentoML at product-centric company Freshworks with solid platform engagement."
CAND_0088335,41,76.06,"Highly qualified AI Research Engineer with 6.4 years of experience. Demonstrated engineering depth in Data Science, Machine Learning, Reinforcement Learning at product-centric company Tech Mahindra with solid platform engagement."
CAND_0017178,42,75.74,"Highly qualified ML Engineer with 4.2 years of experience. Demonstrated engineering depth in PEFT, LlamaIndex, QLoRA at product-centric company Swiggy with solid platform engagement."
CAND_0070398,43,75.718,"Highly qualified Machine Learning Engineer with 7.2 years of experience. Demonstrated engineering depth in Image Classification, Data Science, BM25 at product-centric company Genpact AI with solid platform engagement."
CAND_0054100,44,75.242,"Highly qualified Junior ML Engineer with 6.0 years of experience. Demonstrated engineering depth in Vector Search, Reinforcement Learning, Time Series at product-centric company Zoho with solid platform engagement."
CAND_0078042,45,75.12,"Highly qualified Applied ML Engineer with 4.7 years of experience. Demonstrated engineering depth in OpenSearch, Diffusion Models, PyTorch at product-centric company PolicyBazaar with solid platform engagement."
CAND_0068932,46,74.84,"Highly qualified ML Engineer with 5.2 years of experience. Demonstrated engineering depth in MLOps, Reinforcement Learning, RAG at product-centric company Krutrim with solid platform engagement."
CAND_0016163,47,74.8,"Highly qualified Applied ML Engineer with 6.7 years of experience. Demonstrated engineering depth in Hugging Face Transformers, Computer Vision, Time Series at product-centric company Dream11 with solid platform engagement."
CAND_0024990,48,74.681,"Highly qualified Junior ML Engineer with 5.2 years of experience. Demonstrated engineering depth in Computer Vision, MLflow, Elasticsearch at product-centric company Zoho with solid platform engagement."
CAND_0061225,49,74.6,"Highly qualified Senior Data Engineer with 6.0 years of experience. Demonstrated engineering depth in Diffusion Models, Weaviate, OpenCV at product-centric company InMobi with solid platform engagement."
CAND_0084819,50,74.426,"Highly qualified Search Engineer with 4.5 years of experience. Demonstrated engineering depth in Semantic Search, BM25, OpenSearch at product-centric company Dream11 with solid platform engagement."
CAND_0005311,51,74.36,"Qualified AI Research Engineer with 5.7 years of experience. Experienced in LoRA, Feature Engineering, BentoML at Aganitha; suitable founding engineer fit with positive response metrics."
CAND_0009691,52,74.171,"Qualified Applied ML Engineer with 6.2 years of experience. Experienced in BentoML, Prompt Engineering, Recommendation Systems at LinkedIn; suitable founding engineer fit with positive response metrics."
CAND_0027723,53,73.94,"Qualified ML Engineer with 4.2 years of experience. Experienced in Feature Engineering, Diffusion Models, NLP at Wysa; suitable founding engineer fit with positive response metrics."
CAND_0016659,54,73.882,"Qualified ML Engineer with 4.4 years of experience. Experienced in TTS, Pinecone, Information Retrieval at Glance; suitable founding engineer fit with positive response metrics."
CAND_0062561,55,73.8,"Qualified ML Engineer with 5.9 years of experience. Experienced in Learning to Rank, Information Retrieval, Weights & Biases at Razorpay; suitable founding engineer fit with positive response metrics."
CAND_0010603,56,73.78,"Qualified ML Engineer with 5.3 years of experience. Experienced in OpenSearch, Image Classification, Deep Learning at BYJU'S; suitable founding engineer fit with positive response metrics."
CAND_0050553,57,73.64,"Qualified ML Engineer with 3.6 years of experience. Experienced in Feature Engineering, Statistical Modeling, LlamaIndex at Zoho; suitable founding engineer fit with positive response metrics."
CAND_0051630,58,73.542,"Qualified Machine Learning Engineer with 6.0 years of experience. Experienced in Elasticsearch, Hugging Face Transformers, BentoML at Razorpay; suitable founding engineer fit with positive response metrics."
CAND_0068964,59,73.2,"Qualified ML Engineer with 4.8 years of experience. Experienced in GANs, Forecasting, Elasticsearch at Mad Street Den; suitable founding engineer fit with positive response metrics."
CAND_0082738,60,73.18,"Qualified Senior Data Engineer with 4.7 years of experience. Experienced in Fine-tuning LLMs, GANs, Image Classification at Razorpay; suitable founding engineer fit with positive response metrics."
CAND_0080315,61,73.06,"Qualified AI Research Engineer with 4.1 years of experience. Experienced in LangChain, Prompt Engineering, Image Classification at Sarvam AI; suitable founding engineer fit with positive response metrics."
CAND_0033861,62,72.94,"Qualified Senior NLP Engineer with 8.0 years of experience. Experienced in Reinforcement Learning, Weaviate, LoRA at Mad Street Den; suitable founding engineer fit with positive response metrics."
CAND_0072721,63,72.92,"Qualified Data Scientist with 3.7 years of experience. Experienced in Qdrant, Fine-tuning LLMs, Python at Yellow.ai; suitable founding engineer fit with positive response metrics."
CAND_0071974,64,72.913,"Qualified Senior AI Engineer with 7.8 years of experience. Experienced in LoRA, Learning to Rank, Weaviate at Netflix; suitable founding engineer fit with positive response metrics."
CAND_0041610,65,72.76,"Qualified Recommendation Systems Engineer with 6.7 years of experience. Experienced in OpenCV, LoRA, Statistical Modeling at Zoho; suitable founding engineer fit with positive response metrics."
CAND_0064326,66,72.522,"Qualified Search Engineer with 7.6 years of experience. Experienced in scikit-learn, PyTorch, Milvus at Sarvam AI; suitable founding engineer fit with positive response metrics."
CAND_0076831,67,72.505,"Qualified Search Engineer with 4.0 years of experience. Experienced in LLMs, Milvus, BM25 at Krutrim; suitable founding engineer fit with positive response metrics."
CAND_0042506,68,72.48,"Qualified Search Engineer with 4.2 years of experience. Experienced in PEFT, TTS, scikit-learn at Verloop.io; suitable founding engineer fit with positive response metrics."
CAND_0078492,69,72.38,"Qualified Recommendation Systems Engineer with 5.1 years of experience. Experienced in Machine Learning, Haystack, FAISS at Verloop.io; suitable founding engineer fit with positive response metrics."
CAND_0043228,70,72.16,"Qualified Applied ML Engineer with 6.8 years of experience. Experienced in NLP, ASR, Hugging Face Transformers at Zoho; suitable founding engineer fit with positive response metrics."
CAND_0007596,71,72.097,"Qualified Junior ML Engineer with 4.4 years of experience. Experienced in YOLO, scikit-learn, OpenCV at Flipkart; suitable founding engineer fit with positive response metrics."
CAND_0095619,72,72.06,"Qualified NLP Engineer with 15.6 years of experience. Experienced in Feature Engineering, Pinecone, MLflow at Nykaa; suitable founding engineer fit with positive response metrics."
CAND_0094358,73,71.94,"Qualified ML Engineer with 4.1 years of experience. Experienced in Prompt Engineering, Deep Learning, Weights & Biases at Saarthi.ai; suitable founding engineer fit with positive response metrics."
CAND_0082760,74,71.88,"Qualified ML Engineer with 3.3 years of experience. Experienced in YOLO, BentoML, MLflow at InMobi; suitable founding engineer fit with positive response metrics."
CAND_0049615,75,71.825,"Qualified ML Engineer with 5.1 years of experience. Experienced in NLP, Reinforcement Learning, QLoRA at Krutrim; suitable founding engineer fit with positive response metrics."
CAND_0064331,76,71.7,"Qualified Senior Software Engineer (ML) with 4.2 years of experience. Experienced in Forecasting, Data Science, YOLO at Swiggy; suitable founding engineer fit with positive response metrics."
CAND_0061257,77,71.56,"Qualified Staff Machine Learning Engineer with 8.0 years of experience. Experienced in PEFT, Haystack, Time Series at LinkedIn; suitable founding engineer fit with positive response metrics."
CAND_0076163,78,71.536,"Qualified NLP Engineer with 6.9 years of experience. Experienced in Weaviate, LangChain, Statistical Modeling at Ola; suitable founding engineer fit with positive response metrics."
CAND_0077031,79,71.42,"Qualified Software Engineer with 5.0 years of experience. Experienced in LoRA, Hugging Face Transformers, FAISS at Paytm; suitable founding engineer fit with positive response metrics."
CAND_0075249,80,71.247,"Qualified Applied ML Engineer with 6.2 years of experience. Experienced in Sentence Transformers, Milvus, Machine Learning at Zomato; suitable founding engineer fit with positive response metrics."
CAND_0022254,81,71.18,"Qualified Senior Data Engineer with 5.7 years of experience. Experienced in Data Science, Machine Learning, LangChain at upGrad; suitable founding engineer fit with positive response metrics."
CAND_0046132,82,71.0,"Qualified AI Research Engineer with 4.3 years of experience. Experienced in Data Science, OpenCV, GANs at Verloop.io; suitable founding engineer fit with positive response metrics."
CAND_0039521,83,70.9,"Qualified Search Engineer with 3.0 years of experience. Experienced in Time Series, Hugging Face Transformers, PEFT at Salesforce; suitable founding engineer fit with positive response metrics."
CAND_0050876,84,70.805,"Qualified Applied ML Engineer with 6.0 years of experience. Experienced in Qdrant, MLOps, FAISS at Freshworks; suitable founding engineer fit with positive response metrics."
CAND_0019143,85,70.8,"Qualified Senior Software Engineer with 4.7 years of experience. Experienced in QLoRA, Milvus, BM25 at Stark Industries; suitable founding engineer fit with positive response metrics."
CAND_0086022,86,70.76,"Qualified Senior Applied Scientist with 5.3 years of experience. Experienced in Vector Search, MLflow, Recommendation Systems at Sarvam AI; suitable founding engineer fit with positive response metrics."
CAND_0006567,87,70.703,"Qualified Senior AI Engineer with 7.9 years of experience. Experienced in scikit-learn, Search Backend, Model Adaptation at Meta; suitable founding engineer fit with positive response metrics."
CAND_0006418,88,70.669,"Qualified Machine Learning Engineer with 5.7 years of experience. Experienced in Semantic Search, Embeddings, TensorFlow at Verloop.io; suitable founding engineer fit with positive response metrics."
CAND_0062626,89,70.5,"Qualified Backend Engineer with 4.7 years of experience. Experienced in Qdrant, NLP, Computer Vision at Tech Mahindra; suitable founding engineer fit with positive response metrics."
CAND_0064904,90,70.499,"Qualified AI Engineer with 4.9 years of experience. Experienced in Embeddings, Hugging Face Transformers, Elasticsearch at LinkedIn; suitable founding engineer fit with positive response metrics."
CAND_0046459,91,70.26,"Qualified AI Research Engineer with 4.5 years of experience. Experienced in Kubeflow, BM25, Qdrant at upGrad; suitable founding engineer fit with positive response metrics."
CAND_0091745,92,70.22,"Qualified Junior ML Engineer with 5.9 years of experience. Experienced in Deep Learning, Fine-tuning LLMs, Machine Learning at Locobuzz; suitable founding engineer fit with positive response metrics."
CAND_0075439,93,70.14,"Qualified Machine Learning Engineer with 4.3 years of experience. Experienced in Learning to Rank, Feature Engineering, LoRA at Flipkart; suitable founding engineer fit with positive response metrics."
CAND_0007473,94,70.12,"Qualified Software Engineer with 3.8 years of experience. Experienced in TTS, Haystack, GANs at Razorpay; suitable founding engineer fit with positive response metrics."
CAND_0001086,95,70.08,"Qualified Senior Software Engineer with 8.0 years of experience. Experienced in Learning to Rank, Qdrant, YOLO at Dunder Mifflin; suitable founding engineer fit with positive response metrics."
CAND_0032527,96,70.06,"Qualified Junior ML Engineer with 3.9 years of experience. Experienced in Deep Learning, Data Science, Time Series at Flipkart; suitable founding engineer fit with positive response metrics."
CAND_0074339,97,69.921,"Qualified ML Engineer with 5.3 years of experience. Experienced in OpenSearch, FAISS, Time Series at Observe.AI; suitable founding engineer fit with positive response metrics."
CAND_0059017,98,69.904,"Qualified AI Research Engineer with 6.8 years of experience. Experienced in Sentence Transformers, FAISS, TensorFlow at PhonePe; suitable founding engineer fit with positive response metrics."
CAND_0033871,99,69.9,"Qualified .NET Developer with 6.0 years of experience. Experienced in SAP, Rust, Excel at Hooli; suitable founding engineer fit with positive response metrics."
CAND_0077337,100,69.751,"Qualified Staff Machine Learning Engineer with 7.0 years of experience. Experienced in Semantic Search, QLoRA, pgvector at Paytm; suitable founding engineer fit with positive response metrics."
